 ***************************遗传算法进化代数:   1 最大目标函数值:  0.8108****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7239****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7202****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7146****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7147****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7151****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7180****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7196****** 耗时:    47s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7168****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7179****** 耗时:    58s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.7214****** 耗时:    63s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.7225****** 耗时:    69s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.7211****** 耗时:    75s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.7178****** 耗时:    81s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.7158****** 耗时:    87s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.7130****** 耗时:    93s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.7106****** 耗时:    98s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.7097****** 耗时:   104s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.7058****** 耗时:   110s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.7032****** 耗时:   116s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 10:13:36:466   结束时间: 20170510 10:15:32:347    历时:  116s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num =  7


 best object function value(  0.8108) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.8083****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7075****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7124****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7064****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7047****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7109****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7100****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7110****** 耗时:    47s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7054****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7008****** 耗时:    58s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6991****** 耗时:    64s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.7029****** 耗时:    69s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.7036****** 耗时:    75s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.7042****** 耗时:    81s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.7076****** 耗时:    87s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.7075****** 耗时:    93s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.7081****** 耗时:    99s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.7064****** 耗时:   105s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.7072****** 耗时:   111s*****************************************
